leftArm	 a 	 d 	 alpha 	 offset
headTaxel4_3 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel4_4 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel4_5 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel4_7 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel4_8 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel4_9 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel4_11 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel5_0 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel5_1 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel5_2 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel5_3 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel5_4 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel5_5 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel5_7 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel5_8 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel5_9 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel5_11 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel6_0 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel6_1 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel6_2 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel6_3 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel6_4 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel6_5 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel6_7 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel6_8 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel6_9 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel6_11 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel7_0 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel7_1 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel7_2 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel7_3 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel7_4 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel7_5 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel7_7 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel7_8 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel7_9 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel7_11 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel8_0 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel8_1 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel8_2 0.00000000 0.00000000 0.00000000 0.00000000
headTaxel8_3 0.00000000 0.00000000 0.00000000 0.00000000
