leftArm	 a 	 d 	 alpha 	 offset
leftShoulderPitch 0.00000000 0.10000000 -1.57079633 0.00000000
leftShoulderRoll 0.00000000 0.09800000 1.57079633 0.00000000
leftElbowYaw 0.00000000 0.00000000 1.57079633 1.57079633
leftElbowRoll 0.01500000 0.10500000 -1.57079633 0.00000000
leftWristYaw 0.00000000 0.00000000 1.57079633 0.00000000
leftEE 0.00000000 0.11370000 -1.57079633 3.14159265

rightArm	 a 	 d 	 alpha 	 offset
rightShoulderPitch 0.00000000 0.10000000 -1.57079633 0.00000000
rightShoulderRoll 0.00000000 -0.09800000 1.57079633 0.00000000
rightElbowYaw 0.00000000 0.00000000 1.57079633 1.57079633
rightElbowRoll -0.01500000 0.10500000 -1.57079633 0.00000000
rightWristYaw 0.00000000 0.00000000 1.57079633 0.00000000
rightEE 0.00000000 0.11370000 -1.57079633 3.14159265

head	 a 	 d 	 alpha 	 offset
headYaw 0.00000000 0.12650000 0.00000000 0.00000000
headPitch 0.00000000 0.00000000 -1.57079633 0.00000000
headEE 0.00000000 0.00000000 0.00000000 0.00000000

torsoSkin	 x(a) 	 y(d) 	 z(alfa) 	 alfa(offset) 	 beta(-) 	 gama(-)
torsoTaxel14_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel14_4 -0.00043600 0.00652064 0.00000066 0.00000000 0.00000000 0.00000000
torsoTaxel14_5 -0.00065392 0.00977984 -0.00565710 0.00000000 0.00000000 0.00000000
torsoTaxel14_7 -0.00021792 0.00325919 -0.00565776 0.00000000 0.00000000 0.00000000
torsoTaxel14_8 0.00021804 -0.00326095 -0.00565929 0.00000000 0.00000000 0.00000000
torsoTaxel14_9 0.00065387 -0.00977900 -0.00565845 0.00000000 0.00000000 0.00000000
torsoTaxel14_11 0.00043600 -0.00652064 -0.00000066 0.00000000 0.00000000 0.00000000
torsoTaxel15_0 0.00078193 -0.00648604 0.00000005 0.00000000 0.00000000 0.00000000
torsoTaxel15_1 0.00117295 -0.00972951 0.00566007 0.00000000 0.00000000 0.00000000
torsoTaxel15_2 0.00039102 -0.00324347 0.00566002 0.00000000 0.00000000 0.00000000
torsoTaxel15_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel15_4 -0.00039103 0.00324356 0.00565998 0.00000000 0.00000000 0.00000000
torsoTaxel15_5 -0.00117296 0.00972959 0.00565993 0.00000000 0.00000000 0.00000000
torsoTaxel15_7 -0.00078193 0.00648604 -0.00000005 0.00000000 0.00000000 0.00000000
torsoTaxel15_8 -0.00039102 0.00324347 -0.00566002 0.00000000 0.00000000 0.00000000
torsoTaxel15_9 0.00000001 -0.00000008 -0.01131700 0.00000000 0.00000000 0.00000000
torsoTaxel15_11 0.00039103 -0.00324356 -0.00565998 0.00000000 0.00000000 0.00000000
torsoTaxel16_0 -0.00185911 -0.00268581 -0.00565776 0.00000000 0.00000000 0.00000000
torsoTaxel16_1 -0.00557862 -0.00805927 -0.00565710 0.00000000 0.00000000 0.00000000
torsoTaxel16_2 -0.00371951 -0.00537347 0.00000066 0.00000000 0.00000000 0.00000000
torsoTaxel16_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel16_4 -0.00186011 -0.00268725 0.00565929 0.00000000 0.00000000 0.00000000
torsoTaxel16_5 -0.00000100 -0.00000145 0.01131705 0.00000000 0.00000000 0.00000000
torsoTaxel16_7 0.00185911 0.00268581 0.00565776 0.00000000 0.00000000 0.00000000
torsoTaxel16_8 0.00371951 0.00537347 -0.00000066 0.00000000 0.00000000 0.00000000
torsoTaxel16_9 0.00557814 0.00805858 -0.00565845 0.00000000 0.00000000 0.00000000
torsoTaxel16_11 0.00186011 0.00268725 -0.00565929 0.00000000 0.00000000 0.00000000
torsoTaxel17_0 0.00093979 0.00312840 -0.00565774 0.00000000 0.00000000 0.00000000
torsoTaxel17_1 -0.00000048 -0.00000161 -0.01131705 0.00000000 0.00000000 0.00000000
torsoTaxel17_2 -0.00094027 -0.00313001 -0.00565931 0.00000000 0.00000000 0.00000000
torsoTaxel17_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel17_4 -0.00188021 -0.00625889 -0.00000071 0.00000000 0.00000000 0.00000000
torsoTaxel17_5 -0.00282000 -0.00938729 0.00565702 0.00000000 0.00000000 0.00000000
torsoTaxel17_7 -0.00093979 -0.00312840 0.00565774 0.00000000 0.00000000 0.00000000
torsoTaxel17_8 0.00094027 0.00313001 0.00565931 0.00000000 0.00000000 0.00000000
torsoTaxel17_9 0.00281973 0.00938641 0.00565852 0.00000000 0.00000000 0.00000000
torsoTaxel17_11 0.00188021 0.00625889 0.00000071 0.00000000 0.00000000 0.00000000
torsoTaxel18_0 -0.00055274 -0.00321937 -0.00565776 0.00000000 0.00000000 0.00000000
torsoTaxel18_1 -0.00165860 -0.00966033 -0.00565710 0.00000000 0.00000000 0.00000000
torsoTaxel18_2 -0.00110586 -0.00644096 0.00000066 0.00000000 0.00000000 0.00000000
torsoTaxel18_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel18_4 -0.00055304 -0.00322110 0.00565929 0.00000000 0.00000000 0.00000000
torsoTaxel18_5 -0.00000030 -0.00000173 0.01131705 0.00000000 0.00000000 0.00000000
torsoTaxel18_7 0.00055274 0.00321937 0.00565776 0.00000000 0.00000000 0.00000000
torsoTaxel18_8 0.00110586 0.00644096 -0.00000066 0.00000000 0.00000000 0.00000000
torsoTaxel18_9 0.00165846 0.00965950 -0.00565845 0.00000000 0.00000000 0.00000000
torsoTaxel18_11 0.00055304 0.00322110 -0.00565929 0.00000000 0.00000000 0.00000000
torsoTaxel24_0 0.00055448 0.00650943 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel24_1 0.00083176 0.00976464 -0.00566000 0.00000000 0.00000000 0.00000000
torsoTaxel24_2 0.00027728 0.00325521 -0.00566000 0.00000000 0.00000000 0.00000000
torsoTaxel24_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel24_4 -0.00027728 -0.00325521 -0.00566000 0.00000000 0.00000000 0.00000000
torsoTaxel24_5 -0.00083176 -0.00976464 -0.00566000 0.00000000 0.00000000 0.00000000
torsoTaxel24_7 -0.00055448 -0.00650943 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel24_8 -0.00027728 -0.00325521 0.00566000 0.00000000 0.00000000 0.00000000
torsoTaxel24_9 0.00000000 0.00000000 0.01131700 0.00000000 0.00000000 0.00000000
torsoTaxel24_11 0.00027728 0.00325521 0.00566000 0.00000000 0.00000000 0.00000000
torsoTaxel25_0 0.00073569 0.00318259 0.00565774 0.00000000 0.00000000 0.00000000
torsoTaxel25_1 0.00220755 0.00954989 0.00565702 0.00000000 0.00000000 0.00000000
torsoTaxel25_2 0.00147186 0.00636730 -0.00000071 0.00000000 0.00000000 0.00000000
torsoTaxel25_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel25_4 0.00073606 0.00318422 -0.00565931 0.00000000 0.00000000 0.00000000
torsoTaxel25_5 0.00000038 0.00000163 -0.01131705 0.00000000 0.00000000 0.00000000
torsoTaxel25_7 -0.00073569 -0.00318259 -0.00565774 0.00000000 0.00000000 0.00000000
torsoTaxel25_8 -0.00147186 -0.00636730 0.00000071 0.00000000 0.00000000 0.00000000
torsoTaxel25_9 -0.00220734 -0.00954899 0.00565852 0.00000000 0.00000000 0.00000000
torsoTaxel25_11 -0.00073606 -0.00318422 0.00565931 0.00000000 0.00000000 0.00000000
torsoTaxel26_0 -0.00152566 -0.00288829 0.00565776 0.00000000 0.00000000 0.00000000
torsoTaxel26_1 0.00000082 0.00000156 0.01131705 0.00000000 0.00000000 0.00000000
torsoTaxel26_2 0.00152648 0.00288984 0.00565929 0.00000000 0.00000000 0.00000000
torsoTaxel26_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel26_4 0.00305238 0.00577857 0.00000066 0.00000000 0.00000000 0.00000000
torsoTaxel26_5 0.00457804 0.00866685 -0.00565710 0.00000000 0.00000000 0.00000000
torsoTaxel26_7 0.00152566 0.00288829 -0.00565776 0.00000000 0.00000000 0.00000000
torsoTaxel26_8 -0.00152648 -0.00288984 -0.00565929 0.00000000 0.00000000 0.00000000
torsoTaxel26_9 -0.00457765 -0.00866611 -0.00565845 0.00000000 0.00000000 0.00000000
torsoTaxel26_11 -0.00305238 -0.00577857 -0.00000066 0.00000000 0.00000000 0.00000000
