leftArm	 a 	 d 	 alpha 	 offset
torsoTaxel15_9 -0.00093076 -0.00008317 -0.01138741 0.00000000 0.00000000 0.00000000
torsoTaxel15_11 -0.00037831 -0.00330788 -0.00568018 0.00000000 0.00000000 0.00000000
torsoTaxel16_0 -0.00245736 -0.00222143 -0.00576242 0.00000000 0.00000000 0.00000000
torsoTaxel16_1 -0.00738592 -0.00673481 -0.00557573 0.00000000 0.00000000 0.00000000
torsoTaxel16_2 -0.00406964 -0.00500399 -0.00003469 0.00000000 0.00000000 0.00000000
torsoTaxel16_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel16_4 -0.00140915 -0.00307310 0.00546244 0.00000000 0.00000000 0.00000000
torsoTaxel16_5 0.00102297 -0.00076436 0.01107102 0.00000000 0.00000000 0.00000000
torsoTaxel16_7 0.00226609 0.00227522 0.00547036 0.00000000 0.00000000 0.00000000
torsoTaxel16_8 0.00337326 0.00541962 -0.00015132 0.00000000 0.00000000 0.00000000
torsoTaxel16_9 0.00424443 0.00864066 -0.00581176 0.00000000 0.00000000 0.00000000
torsoTaxel16_11 0.00120076 0.00310444 -0.00575752 0.00000000 0.00000000 0.00000000
torsoTaxel17_0 0.00028779 0.00332640 -0.00560216 0.00000000 0.00000000 0.00000000
torsoTaxel17_1 -0.00109491 0.00035385 -0.01129757 0.00000000 0.00000000 0.00000000
torsoTaxel17_2 -0.00136914 -0.00293632 -0.00565588 0.00000000 0.00000000 0.00000000
torsoTaxel17_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel17_4 -0.00202662 -0.00621089 -0.00002197 0.00000000 0.00000000 0.00000000
torsoTaxel17_5 -0.00281875 -0.00928986 0.00559132 0.00000000 0.00000000 0.00000000
torsoTaxel17_7 -0.00045286 -0.00327286 0.00561349 0.00000000 0.00000000 0.00000000
torsoTaxel17_8 0.00120972 0.00302215 0.00562910 0.00000000 0.00000000 0.00000000
torsoTaxel17_9 0.00238644 0.00955163 0.00572430 0.00000000 0.00000000 0.00000000
torsoTaxel17_11 0.00143194 0.00637445 0.00002278 0.00000000 0.00000000 0.00000000
torsoTaxel18_0 -0.00074914 -0.00296128 -0.00570361 0.00000000 0.00000000 0.00000000
torsoTaxel18_1 -0.00188459 -0.00953712 -0.00575865 0.00000000 0.00000000 0.00000000
torsoTaxel18_2 -0.00076086 -0.00649155 -0.00014871 0.00000000 0.00000000 0.00000000
torsoTaxel18_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel18_4 0.00009758 -0.00334761 0.00546998 0.00000000 0.00000000 0.00000000
torsoTaxel18_5 0.00077577 -0.00021865 0.01116882 0.00000000 0.00000000 0.00000000
torsoTaxel18_7 0.00082634 0.00306741 0.00549575 0.00000000 0.00000000 0.00000000
torsoTaxel18_8 0.00050568 0.00653463 0.00000786 0.00000000 0.00000000 0.00000000
torsoTaxel18_9 0.00027385 0.00988419 -0.00554131 0.00000000 0.00000000 0.00000000
torsoTaxel18_11 -0.00016105 0.00332382 -0.00572200 0.00000000 0.00000000 0.00000000
torsoTaxel24_0 0.00045255 0.00643614 -0.00004521 0.00000000 0.00000000 0.00000000
torsoTaxel24_1 0.00088573 0.00962099 -0.00574405 0.00000000 0.00000000 0.00000000
torsoTaxel24_2 0.00062845 0.00308458 -0.00556366 0.00000000 0.00000000 0.00000000
torsoTaxel24_3 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
torsoTaxel24_4 0.00014686 -0.00333876 -0.00558506 0.00000000 0.00000000 0.00000000
torsoTaxel24_5 -0.00067598 -0.00982762 -0.00551391 0.00000000 0.00000000 0.00000000
torsoTaxel24_7 -0.00057744 -0.00650380 -0.00001040 0.00000000 0.00000000 0.00000000
